Elektroluxas
Forto g. 5
862469534
SAMSUNG,S1230,70,A,Pastatomas,Balta,FALSE,245,85,70,60
Siemens,SN1230,150,A+,Pastatomas,Sidabrinė,TRUE,305,143,65,55
Elektrolux,E1230,200,A++,Įmontuojamas,Balta,TRUE,450,150,70,60
SAMSUNG,S1231,79,A+,Įmontuojamas,Juoda,FALSE,260,100,75,65
Siemens,SN121,180,A+,Pastatomas,Sidabrinė,TRUE,550,160,65,55
Elektrolux,E1231,410,A++,Įmontuojamas,Balta,FALSE,715,185,90,65
SAMSUNG,S1232,200,A+,Pastatomas,Sidabrinė,TRUE,420,150,75,65
Siemens,SN122,100,A+,Įmontuojamas,Balta,FALSE,375,143,70,60
Elektrolux,E1232,120,A+,Pastatomas,Sidabrinė,TRUE,450,163,65,55
SAMSUNG,S1233,350,A++,Įmontuojamas,Balta,FALSE,560,153,65,55
Siemens,SN123,400,A+,Įmontuojamas,Balta,TRUE,475,134,70,60
Elektrolux,E1233,75,A,Pastatomas,Juoda,FALSE,250,75,65,55
Siemens,SN124,300,A+,Pastatomas,Sidabrinė,TRUE,400,153,70,60
Elektrolux,E1234,400,A+,Pastatomas,Balta,FALSE,420,143,75,65
