SAMSUNGAS
Lekonio g. 64
861478844
SAMSUNG,S1231,70,A,Pastatomas,Balta,FALSE,245,85,70,60
Siemens,SN1232,150,A+,Pastatomas,Sidabrinė,TRUE,305,143,65,55
Elektrolux,E1233,200,A++,Įmontuojamas,Balta,TRUE,450,150,70,60
SAMSUNG,S1234,79,A+,Įmontuojamas,Juoda,FALSE,260,100,75,65
Ledukas,SN125,180,A+,Pastatomas,Sidabrinė,TRUE,550,160,65,55
Ledukas,E1236,410,A++,Įmontuojamas,Balta,FALSE,715,185,90,65
Ledukas,S1237,200,A+,Pastatomas,Sidabrinė,TRUE,420,150,75,65
Siemens,SN118,100,A+,Įmontuojamas,Balta,FALSE,375,143,70,60
Elektrolux,E1239,120,A+,Pastatomas,Sidabrinė,TRUE,450,163,65,55
SAMSUNG,S1230,350,A++,Įmontuojamas,Balta,FALSE,560,153,65,55
Siemens,SN123,400,A+,Įmontuojamas,Balta,TRUE,475,134,70,60
Elektrolux,E1233,75,A,Pastatomas,Juoda,FALSE,250,75,65,55
Snaigė,S1234,120,A+,Įmontuojamas,Balta,FALSE,380,142,75,65
Siemens,SN124,300,A+,Pastatomas,Sidabrinė,TRUE,400,153,70,60
Elektrolux,E1234,400,A+,Pastatomas,Balta,FALSE,420,143,75,65
